category,foodname,weight,edible,energy,protein,fat,cho,dietaryfiber,ash,cholesterol,vitaminA,retinol,vitaminE,vitaminB1,vitaminB2,vitaminB3,calcium,phosphorous,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,food_id,vitaminC
Seed_Fat&Oils,Corn oil,100,100,895,0,99.2,0.5,0,0.1,0,0,0,50.94,0,0,0,1,18,2,1.4,3,1.4,0.26,0,0.23,0.04,83,0
Seed_Fat&Oils,Sesame oil,100,100,898,0,99.9,0,0,0,0,0,0,68.53,0,0,0,9,4,0,1.1,3,2.2,0.17,0,0.05,0.76,84,0
Seed_Fat&Oils,Olive oil,100,100,899,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,85,0
Condiments,Soy sauce_light,100,100,63,5.6,0.1,10.1,0.2,16.9,0,0,0,0,0.05,0.13,1.7,66,204,337,5757,156,8.6,1.17,1.39,0.06,1.11,86,0
Condiments,Vinegar,100,100,31,2.1,0.3,4.9,0,2.1,0,0,0,0,0.03,0.05,1.4,17,96,351,262.1,13,6,1.25,2.43,0.04,2.97,87,0
Condiments,Yeast_dried,100,100,372,47.6,1.7,45.5,7.9,0.8,0,0,0,0,6.56,3.35,45.2,106,1893,0,0,0,18.2,0,0,0,0,88,0
Cereal&Cereal Products,Wheat flour_standard grade,100,100,349,11.2,1.5,73.6,2.1,1,0,0,0,1.8,0.28,0.08,2,31,188,190,3.1,50,3.5,1.64,5.36,0.42,1.56,89,0
Cereal&Cereal Products,Rice_grained,100,100,347,7.4,0.8,77.9,0.7,0.6,0,0,0,0.46,0.11,0.05,1.9,13,110,103,3.8,34,2.3,1.7,2.23,0.3,1.29,90,0
Cereal&Cereal Products,Long grained_purple,100,100,341,9.4,2.5,72.2,3.9,1.6,0,0,0,0.22,0.33,0.13,7.9,12,356,256,7.1,147,1.6,3.8,3.2,0.15,1.72,91,0
Cereal&Cereal Products,Rice_steamed,100,100,116,2.6,0.3,25.9,0.3,0.3,0,0,0,0,0.02,0.03,1.9,7,62,30,2.5,15,1.3,0.92,0.4,0.06,0.58,92,0
Cereal&Cereal Products,Corn_fresh,100,46,112,4,1.2,22.8,2.9,0.7,0,0,0,0.46,0.16,0.11,1.8,0,117,238,1.1,32,1.1,0.9,1.63,0.09,0.22,93,0
Cereal&Cereal Products,Barley grain,100,100,327,10.2,1.4,73.3,9.9,2,0,0,0,1.23,0.43,0.14,3.9,66,381,49,0,158,6.4,4.36,9.8,0.63,1.23,94,0
Cereal&Cereal Products,Foxtail millet_hulled,100,100,361,9,3.1,75.1,1.6,1.2,0,17,0,3.63,0.33,0.1,1.5,41,229,284,4.3,107,5.1,1.87,4.74,0.54,0.89,95,0
Cereal&Cereal Products,"Adlay_""Job's tears""",100,100,361,12.8,3.3,71.1,2,1.6,0,0,0,2.08,0.22,0.15,2,42,217,238,3.6,88,3.6,1.68,3.07,0.29,1.37,96,0
Cereal&Cereal Products,Oatmeal flake,100,100,368,12.4,7.4,67.3,8.6,1.6,0,0,0,3.07,0.3,0.13,1.2,186,291,214,3.7,177,7,2.59,4.31,0.45,3.36,97,0
Cereal&Cereal Products,Corn grain_white,100,100,353,8,4.5,73.1,6.2,1,0,0,0,6.89,0.34,0.06,3,12,187,276,0.5,111,1.3,1.22,1.58,0.23,0.4,98,0
Tubers_Starches&Products,Potato_white,100,94,77,2,0.2,17.2,0.7,0.8,0,5,0,0.34,0.08,0.04,1.1,8,40,342,2.7,23,0.8,0.37,0.78,0.12,0.14,99,27
Tubers_Starches&Products,Sweet potato_red flesh,100,90,102,1.1,0.2,24.7,1.6,0.6,0,125,0,0.28,0.04,0.04,0.6,23,39,130,28.5,12,0.5,0.15,0.48,0.18,0.11,100,26
Tubers_Starches&Products,Corn starch,100,100,346,1.2,0.1,85,0.1,0.2,0,0,0,0,0.03,0.04,1.1,18,25,8,6.3,6,4,0.09,0.7,0.07,0.05,101,0
Tubers_Starches&Products,Pea starch,100,100,342,0.6,0,85,0.3,0.8,0,0,0,0,0.01,0,0.1,4,10,93,3.4,4,1.7,0.22,0,0.03,0.29,102,0
root vegetables,White radish,100,93.4,23,0.9,0.1,5,1,0.6,0,3,0,0.92,0.02,0.03,0.3,36,26,173,61.8,16,0.5,0.3,0.61,0.04,0.09,103,21
root vegetables,Carrot_red,100,97,46,1.4,0.2,10.2,1.3,0.8,0,688,0,0,0.04,0.04,0.2,32,16,193,25.1,7,0.5,0.14,2.8,0.03,0.07,104,16
root vegetables,Beetroot,100,90,87,1,0.1,23.5,5.9,0.6,0,0,0,1.85,0.05,0.04,0.2,56,18,254,20.8,38,0.9,0.31,0.29,0.15,0.86,105,8
leguminous vegetables_Legume products,Hyacinth bean_green,100,91,41,2.7,0.2,8.2,2.1,0.6,0,25,0,0.24,0.04,0.07,0.9,38,54,178,3.8,34,1.9,0.72,0.94,0.12,0.34,106,13
leguminous vegetables_Legume products,Snow bean_edible pod,100,88,30,2.5,0.3,4.9,1.4,0.4,0,80,0,0.3,0.09,0.04,0.7,51,19,116,8.8,16,0.9,0.5,0.42,0.06,0.48,107,16
leguminous vegetables_Legume products,"""Pale green"" soybean_with seed coat",100,53,131,13.1,5,10.5,4,1.8,0,22,0,2.44,0.15,0.07,1.4,135,188,478,3.9,70,3.5,1.73,2.48,0.54,1.2,108,27
leguminous vegetables_Legume products,Kidney bean_green,100,96,31,2,0.4,5.7,1.5,0.6,0,35,0,1.24,0.04,0.07,0.4,42,51,123,8.6,27,1.5,0.23,0.43,0.11,0.18,109,6
leguminous vegetables_Legume products,Pea_with pod,100,42,111,7.4,0.3,21.2,3,0.9,0,37,0,1.21,0.43,0.09,2.3,21,127,332,1.2,43,1.7,1.29,1.74,0.22,0.65,110,14
leguminous vegetables_Legume products,Pea_shoots_tender greens,100,100,225,3.1,0,53.9,1.3,0.9,0,452,0,0.22,0.07,0.23,0,17,65,160,3.2,24,5.1,0.93,1.94,0.06,0.98,111,11
leguminous vegetables_Legume products,Cowpean,100,97,33,2.9,0.3,5.9,2.3,0.6,0,42,0,4.39,0.07,0.09,1.4,27,63,112,2.2,31,0.5,0.54,0.74,0.14,0.37,112,19
leguminous vegetables_Legume products,Soybean sprouts,100,100,47,4.5,1.6,4.5,1.5,0.6,0,5,0,0.8,0.04,0.07,0.6,21,74,160,7.2,21,0.9,0.54,0.96,0.14,0.34,113,8
leguminous vegetables_Legume products,Pea greens,100,86,38,4,0.8,4.6,1.9,1,0,445,0,2.46,0.05,0.11,1.1,40,67,222,18.5,21,4.2,0.77,1.09,0.2,0.76,114,67
leguminous vegetables_Legume products,Soybean curd sheet_semisoft,100,100,262,24.5,16,5.5,1,2,0,5,0,26.78,0.04,0.05,0.2,49,490,837,83,162,10.8,3.2,6.14,0.78,2.9,115,0
solanaceous_melon&fruit vegetables,Eggplant_long_dark purple skin,100,96,23,1,0.1,5.4,1.9,0.4,0,30,0,0.2,0.03,0.03,0.6,55,28,136,6.4,15,0.4,0.16,0.57,0.07,0.14,116,7
solanaceous_melon&fruit vegetables,Tomato_round,100,97,20,0.9,0.2,4,0.5,0.5,0,92,0,0.57,0.03,0.03,0.6,10,23,163,5,9,0.4,0.13,0.15,0.06,0.08,117,19
solanaceous_melon&fruit vegetables,Sweet peppet_pale green,100,82,25,1,0.2,5.4,1.4,0.4,0,57,0,0.59,0.03,0.03,0.9,14,20,142,3.3,12,0.8,0.19,0.38,0.09,0.12,118,72
solanaceous_melon&fruit vegetables,Hispid bottle gourd,100,85,29,0.7,0.1,6.8,0.9,0.2,0,163,0,1.14,0.01,0.06,0.7,49,27,73,1.2,10,0,0.56,4.4,0.87,0,119,29
solanaceous_melon&fruit vegetables,Okra,100,88,45,2,0.1,11,3.9,0.7,0,52,0,1.03,0.05,0.09,1,45,65,95,3.9,29,0.1,0.23,0.51,0.07,0.28,120,4
solanaceous_melon&fruit vegetables,Chinese wax gourd or winter melon,100,80,12,0.4,0.2,2.6,0.7,0.2,0,13,0,0.08,0.01,0.01,0.3,19,12,78,1.8,8,0.2,0.07,0.22,0.07,0.03,121,18
solanaceous_melon&fruit vegetables,Chayote,100,100,19,1.2,0.1,3.8,1.2,0.6,0,3,0,0,0.01,0.1,0.1,17,18,76,1,10,0.1,0.08,1.45,0.02,0.03,122,8
solanaceous_melon&fruit vegetables,Calabash,100,87,16,0.7,0.1,3.5,0.8,0.4,0,7,0,0,0.02,0.01,0.4,16,15,87,0.6,7,0.4,0.14,0.49,0.08,0,123,11
solanaceous_melon&fruit vegetables,Cucumber,100,92,16,0.8,0.2,2.9,0.5,0.3,0,15,0,0.49,0.02,0.03,0.2,24,24,102,4.9,15,0.5,0.18,0.38,0.05,0.06,124,9
solanaceous_melon&fruit vegetables,Pumpkin,100,85,23,0.7,0.1,5.3,0.8,0.4,0,148,0,0.36,0.03,0.04,0.4,16,24,145,0.8,8,0.4,0.14,0.46,0.03,0.08,125,8
solanaceous_melon&fruit vegetables,Sponge gourd_loofah,100,83,21,1,0.2,4.2,0.6,0.3,0,15,0,0.22,0.02,0.04,0.4,14,29,115,2.6,11,0.4,0.21,0.86,0.06,0.06,126,5
solanaceous_melon&fruit vegetables,Zucchini_green,100,73,19,0.8,0.2,3.8,0.6,0.3,0,5,0,0.34,0.01,0.03,0.2,15,17,92,5,9,0.3,0.12,0.28,0.03,0.04,127,6
leafy_flower vegetables,Cabbage flowering stalk ,100,84,28,2.8,0.5,4,1.7,1.4,0,160,0,0.52,0.05,0.08,1.2,96,54,236,26,19,2.8,0.87,6.68,0.18,0.41,128,44
leafy_flower vegetables,Rape flowering stalk_red,100,52,43,2.9,2.5,2.7,0.9,0.8,0,13,0,0.51,0.05,0.04,0.9,26,60,221,1.5,15,2.5,0.9,8.43,0.12,0,129,57
leafy_flower vegetables,Broadbeaked cabbage,100,89,28,2.6,0.4,4.2,1.4,1,0,168,0,1.16,0.06,0.11,1.1,186,53,154,115.5,24,3,0.7,0.5,0.13,0.36,130,45
leafy_flower vegetables,Rape,100,87,25,1.8,0.5,3.8,1.1,1,0,103,0,0.88,0.04,0.11,0.7,108,39,210,55.8,22,1.2,0.33,0.79,0.06,0.23,131,36
leafy_flower vegetables,Cabbage,100,86,24,1.5,0.2,4.6,1,0.5,0,12,0,0.5,0.03,0.03,0.4,49,26,124,27.2,12,0.6,0.25,0.96,0.04,0.18,132,40
leafy_flower vegetables,Cauliflower,100,82,26,2.1,0.2,4.6,1.2,0.7,0,5,0,0.43,0.03,0.08,0.6,23,47,200,31.6,18,1.1,0.38,0.73,0.05,0.17,133,61
leafy_flower vegetables,Broccoli,100,83,36,4.1,0.6,4.3,1.6,0.7,0,1202,0,0.91,0.09,0.13,0.9,67,72,17,18.8,17,1,0.78,0.7,0.03,0.24,134,51
leafy_flower vegetables,Kohlrabi leaf,100,78,22,2.8,0.4,2.6,1.6,1,0,575,0,0.96,0.02,0.09,1,128,50,104,50.5,18,2,1.3,0.88,0.11,0.53,135,76
leafy_flower vegetables,Spinach,100,89,28,2.6,0.3,4.5,1.7,1.4,0,487,0,1.74,0.04,0.11,0.6,66,47,311,85.2,58,2.9,0.85,0.97,0.1,0.66,136,32
leafy_flower vegetables,Celery stem_white,100,66,17,0.8,0.1,3.9,1.4,1,0,10,0,2.21,0.01,0.08,0.4,48,50,154,73.8,10,0.8,0.46,0.47,0.09,0.17,137,12
leafy_flower vegetables,Celery stem,100,67,22,1.2,0.2,4.5,1.2,1,0,57,0,1.32,0.02,0.06,0.4,80,38,206,159,18,1.2,0.24,0.57,0.09,0.16,138,8
leafy_flower vegetables,Celery leaf,100,100,35,2.6,0.6,5.9,2.2,1.5,0,488,0,2.5,0.08,0.15,0.9,40,64,137,83,58,0.6,1.14,2,0.99,0.54,139,22
leafy_flower vegetables,Romaine lettuce,100,81,16,1.4,0.4,2.1,0.6,0.4,0,60,0,0,0,0.1,0.2,70,31,100,80,29,1.2,0.43,1.55,0.08,0.15,140,20
leafy_flower vegetables,"""Curl-leafed"" endive lettuce",100,94,15,1.3,0.3,2,0.7,0.6,0,298,0,1.02,0.03,0.06,0.4,34,27,170,32.8,18,0.9,0.27,1.15,0.03,0.13,141,13
leafy_flower vegetables,Amaranth_pale green,100,74,30,2.8,0.3,5,2.2,1.7,0,352,0,0.36,0.03,0.12,0.8,187,59,207,32.4,119,5.4,0.8,0.52,0.13,0.78,142,47
leafy_flower vegetables,Amaranth_purple,100,73,35,2.8,0.4,5.9,1.8,2.1,0,248,0,1.54,0.03,0.1,0.6,178,63,340,42.3,38,2.9,0.7,0.09,0.07,0.35,143,30
leafy_flower vegetables,Chrysanthemum crowndairy_greens,100,82,24,1.9,0.3,3.9,1.2,0.9,0,252,0,0.92,0.04,0.09,0.6,73,36,220,161.3,20,2.5,0.35,0.6,0.06,0.28,144,18
leafy_flower vegetables,Lettuce stem,100,62,15,1,0.1,2.8,0.6,0.6,0,25,0,0.19,0.02,0.02,0.5,23,48,212,36.5,19,0.9,0.33,0.54,0.07,0.19,145,4
leafy_flower vegetables,Lettuce leaf,100,89,20,1.4,0.2,3.6,1,0.6,0,147,0,0.58,0.06,0.1,0.4,34,26,148,39.1,19,1.5,0.51,0.78,0.09,0.26,146,13
leafy_flower vegetables,Warer spinach,100,76,23,2.2,0.3,3.6,1.4,1,0,253,0,1.09,0.03,0.08,0.8,99,38,243,94.3,29,2.3,0.39,1.2,0.1,0.67,147,25
leafy_flower vegetables,Bamboo shoot_whole,100,63,23,2.6,0.2,3.6,1.8,0.8,0,0,0,0.05,0.08,0.08,0.6,9,64,389,0.4,1,0.5,0.33,0.04,0.09,1.14,148,5
leafy_flower vegetables,Spring bamboo whoot,100,66,25,2.4,0.1,5.1,2.8,1,0,5,0,0,0.05,0.04,0.4,8,36,300,6,8,2.4,0.43,0.66,0.15,0.78,149,5
leafy_flower vegetables,Winter bamboo shoot,100,39,42,4.1,0.1,6.5,0.8,1.2,0,13,0,0,0.08,0.08,0.6,22,56,0,0,0,0.1,0,0,0,0,150,1
leafy_flower vegetables,Asparagus,100,90,22,1.4,0.1,4.9,1.9,0.6,0,17,0,0,0.04,0.05,0.7,10,42,213,3.1,10,1.4,0.41,0.21,0.07,0.17,151,45
aquatic_tuber vegetable,Water caltrop,100,57,101,4.5,0.1,21.4,1.7,1,0,2,0,0,0.19,0.06,1.5,7,93,437,5.8,49,0.6,0.62,0,0.18,0.38,152,13
aquatic_tuber vegetable,Lotus root,100,88,73,1.9,0.2,16.4,1.2,1,0,3,0,0.73,0.09,0.03,0.3,39,58,243,44.2,19,1.4,0.23,0.39,0.11,1.3,153,44
aquatic_tuber vegetable,Water bamboo,100,74,26,1.2,0.2,5.9,1.9,0.5,0,5,0,0.99,0.02,0.03,0.5,4,36,209,5.8,8,0.4,0.33,0.45,0.06,0.49,154,5
aquatic_tuber vegetable,Water chestnut,100,78,61,1.2,0.2,14.2,1.1,0.8,0,3,0,0.65,0.02,0.02,0.7,4,44,306,15.7,12,0.6,0.34,0.7,0.07,0.11,155,7
aquatic_tuber vegetable,Yam,100,83,57,1.9,0.2,12.4,0.8,0.7,0,0,0,0.24,0.05,0.02,0.3,16,34,213,18.6,20,0.3,0.27,0.55,0.24,0.12,156,5
aquatic_tuber vegetable,Taro,100,84,81,2.2,0.2,18.1,1,0.9,0,27,0,0.45,0.06,0.05,0.7,36,55,378,33.1,23,1,0.49,1.45,0.37,0.3,157,6
 Fungi&Algae,"""Gold needle"" mushroom_thin",100,100,32,2.4,0.4,6,2.7,1,0,5,0,1.14,0.15,0.19,4.1,0,97,195,4.3,17,1.4,0.39,0.28,0.14,0.1,158,2
 Fungi&Algae,Wood ear fungus_dried,100,100,265,12.1,1.5,65.6,29.9,5.3,0,17,0,11.34,0.17,0.44,2.5,247,292,757,48.5,152,97.4,3.18,3.72,0.32,8.86,159,0
 Fungi&Algae,Shitake mushroom,100,100,26,2.2,0.3,5.2,3.3,0.6,0,0,0,0,0,0.08,2,2,53,20,1.4,11,0.3,0.66,2.58,0.12,0.25,160,1
 Fungi&Algae,Silver ear fungus_white dried,100,96,261,10,1.4,67.3,30.4,6.7,0,8,0,1.26,0.05,0.25,5.3,36,369,1588,82.1,54,4.1,3.03,2.95,0.08,0.17,161,0
 Fungi&Algae,Kelp,100,100,13,1.2,0.1,2.1,0.5,2.2,0,0,0,1.85,0.02,0.15,1.3,46,22,246,8.6,25,0.9,0.16,9.54,0,0.07,162,0
 Fungi&Algae,Kelp_dried,100,98,90,1.8,0.1,23.4,6.1,4.2,0,40,0,0.85,0.01,0.1,0.8,348,52,761,327.4,129,4.7,0.65,5.84,0.14,1.14,163,0
 Fungi&Algae,Laver_dried,100,100,250,26.7,1.1,44.1,21.6,15.4,0,228,0,1.82,0.27,1.02,7.3,264,350,1796,710.5,105,54.9,2.47,7.22,1.68,4.32,164,2
